iteration,X,Y
995,104.975,-2.134424816
996,104.98,-2.133825107
997,104.985,-2.133225459
998,104.99,-2.132625871
999,104.995,-2.132026343
1000,105,-2.131426876
1001,105.005,-2.130827469
1002,105.01,-2.130228122
1003,105.015,-2.129628835
1004,105.02,-2.129029608
1005,105.025,-2.128430442
1006,105.03,-2.127831335
1007,105.035,-2.127232289
1008,105.04,-2.126633303
1009,105.045,-2.126034377
1010,105.05,-2.125435512
1011,105.055,-2.124836706
1012,105.06,-2.124237961
1013,105.065,-2.123639276
1014,105.07,-2.123040651
1015,105.075,-2.122442085
1016,105.08,-2.12184358
1017,105.085,-2.121245136
1018,105.09,-2.120646751
1019,105.095,-2.120048426
1020,105.1,-2.119450161
1021,105.105,-2.118851957
1022,105.11,-2.118253812
1023,105.115,-2.117655727
1024,105.12,-2.117057703
1025,105.125,-2.116459738
1026,105.13,-2.115861834
1027,105.135,-2.115263989
1028,105.14,-2.114666205
1029,105.145,-2.11406848
1030,105.15,-2.113470815
1031,105.155,-2.112873211
1032,105.16,-2.112275666
1033,105.165,-2.111678181
1034,105.17,-2.111080756
1035,105.175,-2.110483391
1036,105.18,-2.109886086
1037,105.185,-2.109288841
1038,105.19,-2.108691655
1039,105.195,-2.10809453
1040,105.2,-2.107497464
1041,105.205,-2.106900459
1042,105.21,-2.106303513
1043,105.215,-2.105706627
1044,105.22,-2.105109801
1045,105.225,-2.104513034
1046,105.23,-2.103916328
1047,105.235,-2.103319681
1048,105.24,-2.102723094
1049,105.245,-2.102126567
1050,105.25,-2.1015301
1051,105.255,-2.100933692
1052,105.26,-2.100337344
1053,105.265,-2.099741056
1054,105.27,-2.099144828
1055,105.275,-2.098548659
1056,105.28,-2.09795255
1057,105.285,-2.097356501
1058,105.29,-2.096760512
1059,105.295,-2.096164582
1060,105.3,-2.095568712
1061,105.305,-2.094972901
1062,105.31,-2.094377151
1063,105.315,-2.09378146
1064,105.32,-2.093185828
1065,105.325,-2.092590256
1066,105.33,-2.091994744
1067,105.335,-2.091399292
1068,105.34,-2.090803899
